PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence),Idx,Keywords
95426,4984,will enthrall the whole family,4,will enthrall the whole family,2,2,1.7142857142857142,95426,"['family', 'the', 'the whole', 'whole', 'will']"
95427,4984,enthrall the whole family,4,enthrall the whole family,2,2,1.7142857142857142,95427,"['family', 'the', 'the whole', 'whole']"
95428,4984,enthrall,3,enthrall,2,1,1.7142857142857142,95428,[]
7708,312,... irritating soul-searching garbage .,0,... irritating soul-searching garbage .,2,2,1.7142857142857142,7708,"['garbage', 'irritating', 'searching', 'soul', 'soul searching']"
7713,312,garbage .,0,garbage .,2,2,1.7142857142857142,7713,['garbage']
7714,312,garbage,1,garbage,2,1,1.7142857142857142,7714,['garbage']
7709,312,irritating soul-searching garbage .,0,irritating soul-searching garbage .,2,2,1.7142857142857142,7709,"['garbage', 'irritating', 'searching', 'soul', 'soul searching']"
7710,312,irritating,0,irritating,2,2,1.7142857142857142,7710,['irritating']
95422,4984,A film that will enthrall the whole family .,3,A film that will enthrall the whole family .,2,1,1.7142857142857142,95422,"['family', 'film', 'film that', 'that', 'that will', 'the', 'the whole', 'whole', 'will']"
7712,312,soul-searching,3,soul-searching,2,1,1.7142857142857142,7712,"['searching', 'soul', 'soul searching']"
7711,312,soul-searching garbage .,0,soul-searching garbage .,2,2,1.7142857142857142,7711,"['garbage', 'searching', 'soul', 'soul searching']"
142555,7739,Cinematic poo .,0,Cinematic poo .,2,2,1.6666666666666667,142555,['cinematic']
135914,7341,A modest masterpiece .,3,A modest masterpiece .,2,1,1.6666666666666667,135914,"['masterpiece', 'modest']"
142556,7739,poo .,0,poo .,2,2,1.6666666666666667,142556,[]
142557,7739,poo,1,poo,2,1,1.6666666666666667,142557,[]
135915,7341,modest masterpiece .,4,modest masterpiece .,2,2,1.6666666666666667,135915,"['masterpiece', 'modest']"
135916,7341,masterpiece .,4,masterpiece .,2,2,1.6666666666666667,135916,['masterpiece']
96126,5021,The movie is a dud .,0,The movie is a dud .,2,2,1.6666666666666667,96126,"['dud', 'is', 'movie', 'movie is', 'the', 'the movie']"
65280,3304,"more entertaining , too",3,"more entertaining , too",1,2,1.6666666666666667,65280,"['entertaining', 'more', 'too']"
65276,3304,"Oh , and more entertaining , too .",3,"Oh , and more entertaining , too .",1,2,1.6666666666666667,65276,"['and', 'and more', 'entertaining', 'more', 'oh', 'too']"
154553,8449,dreadful romance .,0,dreadful romance .,2,2,1.6666666666666667,154553,"['dreadful', 'romance']"
132046,7118,less-than-thrilling thriller .,1,less-than-thrilling thriller .,2,1,1.6666666666666667,132046,"['less', 'than', 'thriller', 'thrilling']"
132045,7118,A less-than-thrilling thriller .,0,A less-than-thrilling thriller .,2,2,1.6666666666666667,132045,"['less', 'than', 'thriller', 'thrilling']"
52410,2592,that hard,2,that hard,2,0,1.6666666666666667,52410,"['hard', 'that']"
52409,2592,laughed that hard,4,laughed that hard,2,2,1.6666666666666667,52409,"['hard', 'laughed', 'that']"
52408,2592,laughed that hard in year,4,laughed that hard in years,2,2,1.6666666666666667,52408,"['hard', 'in', 'in year', 'laughed', 'that', 'year']"
52407,2592,have not laughed that hard in year,4,have n't laughed that hard in years,2,2,1.6666666666666667,52407,"['hard', 'have', 'have not', 'in', 'in year', 'laughed', 'not', 'that', 'year']"
52406,2592,have not laughed that hard in year !,4,have n't laughed that hard in years !,2,2,1.6666666666666667,52406,"['hard', 'have', 'have not', 'in', 'in year', 'laughed', 'not', 'that', 'year']"
52405,2592,I have not laughed that hard in year !,4,I have n't laughed that hard in years !,2,2,1.6666666666666667,52405,"['hard', 'have', 'have not', 'in', 'in year', 'laughed', 'not', 'that', 'year']"
154552,8449,Staggeringly dreadful romance .,0,Staggeringly dreadful romance .,2,2,1.6666666666666667,154552,"['dreadful', 'romance', 'staggeringly']"
154554,8449,dreadful romance,1,dreadful romance,2,1,1.6666666666666667,154554,"['dreadful', 'romance']"
65277,3304,", and more entertaining , too .",2,", and more entertaining , too .",1,1,1.6666666666666667,65277,"['and', 'and more', 'entertaining', 'more', 'too']"
130778,7046,lousy movie,0,lousy movie,2,2,1.6666666666666667,130778,"['lousy', 'movie']"
130777,7046,One lousy movie,0,One lousy movie,2,2,1.6666666666666667,130777,"['lousy', 'movie', 'one']"
130776,7046,One lousy movie .,1,One lousy movie .,2,1,1.6666666666666667,130776,"['lousy', 'movie', 'one']"
80727,4158,I simply can not recommend it enough .,3,I simply ca n't recommend it enough .,1,2,1.6666666666666667,80727,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it', 'simply']"
80728,4158,simply can not recommend it enough .,4,simply ca n't recommend it enough .,1,3,1.6666666666666667,80728,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it', 'simply']"
80729,4158,can not recommend it enough .,4,ca n't recommend it enough .,2,2,1.6666666666666667,80729,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it']"
80730,4158,can not recommend it enough,4,ca n't recommend it enough,2,2,1.6666666666666667,80730,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it']"
80731,4158,recommend it enough,3,recommend it enough,2,1,1.6666666666666667,80731,"['enough', 'it', 'recommend', 'recommend it']"
80732,4158,it enough,2,it enough,2,0,1.6666666666666667,80732,"['enough', 'it']"
132047,7118,less-than-thrilling,0,less-than-thrilling,2,2,1.6666666666666667,132047,"['less', 'than', 'thrilling']"
96127,5021,is a dud .,0,is a dud .,2,2,1.6666666666666667,96127,"['dud', 'is']"
71071,3625,A half-assed film .,0,A half-assed film .,2,2,1.6666666666666667,71071,"['film', 'half']"
138327,7488,under-rehearsed,1,under-rehearsed,2,1,1.6666666666666667,138327,['under']
65278,3304,"and more entertaining , too .",3,"and more entertaining , too .",1,2,1.6666666666666667,65278,"['and', 'and more', 'entertaining', 'more', 'too']"
65279,3304,"and more entertaining , too",3,"and more entertaining , too",1,2,1.6666666666666667,65279,"['and', 'and more', 'entertaining', 'more', 'too']"
96128,5021,is a dud,1,is a dud,2,1,1.6666666666666667,96128,"['dud', 'is']"
71073,3625,half-assed,1,half-assed,2,1,1.6666666666666667,71073,['half']
71072,3625,half-assed film .,0,half-assed film .,2,2,1.6666666666666667,71072,"['film', 'half']"
65281,3304,"more entertaining ,",3,"more entertaining ,",2,1,1.6666666666666667,65281,"['entertaining', 'more']"
138325,7488,under-rehearsed and lifeless,0,under-rehearsed and lifeless,2,2,1.6666666666666667,138325,"['and', 'lifeless', 'under']"
138326,7488,under-rehearsed and,0,under-rehearsed and,2,2,1.6666666666666667,138326,"['and', 'under']"
113124,6008,to the floor with a sickening thud,1,to the floor with a sickening thud,2,1,1.6470588235294117,113124,"['floor', 'sickening', 'the', 'to', 'to the', 'with']"
113125,6008,the floor with a sickening thud,2,the floor with a sickening thud,2,0,1.6470588235294117,113125,"['floor', 'sickening', 'the', 'with']"
113126,6008,the floor,2,the floor,2,0,1.6470588235294117,113126,"['floor', 'the']"
113130,6008,thud,1,thud,2,1,1.6470588235294117,113130,[]
113123,6008,fall to the floor with a sickening thud,1,falls to the floor with a sickening thud,2,1,1.6470588235294117,113123,"['fall', 'floor', 'sickening', 'the', 'to', 'to the', 'with']"
113128,6008,a sickening thud,1,a sickening thud,2,1,1.6470588235294117,113128,['sickening']
113127,6008,with a sickening thud,1,with a sickening thud,2,1,1.6470588235294117,113127,"['sickening', 'with']"
113129,6008,sickening thud,1,sickening thud,2,1,1.6470588235294117,113129,['sickening']
113122,6008,fall to the floor with a sickening thud .,1,falls to the floor with a sickening thud .,2,1,1.6470588235294117,113122,"['fall', 'floor', 'sickening', 'the', 'to', 'to the', 'with']"
113114,6008,One scene after another in this supposedly funny movie fall to the floor with a sickening thud .,1,One scene after another in this supposedly funny movie falls to the floor with a sickening thud .,4,3,1.6470588235294117,113114,"['after', 'after another', 'another', 'fall', 'floor', 'funny', 'funny movie', 'in', 'in this', 'movie', 'one', 'scene', 'sickening', 'the', 'this', 'to', 'to the', 'with']"
113121,6008,supposedly funny,1,supposedly funny,3,2,1.6470588235294117,113121,['funny']
113115,6008,One scene after another in this supposedly funny movie,1,One scene after another in this supposedly funny movie,4,3,1.6470588235294117,113115,"['after', 'after another', 'another', 'funny', 'funny movie', 'in', 'in this', 'movie', 'one', 'scene', 'this']"
113117,6008,another in this supposedly funny movie,2,another in this supposedly funny movie,4,2,1.6470588235294117,113117,"['another', 'funny', 'funny movie', 'in', 'in this', 'movie', 'this']"
113118,6008,in this supposedly funny movie,2,in this supposedly funny movie,4,2,1.6470588235294117,113118,"['funny', 'funny movie', 'in', 'in this', 'movie', 'this']"
113116,6008,after another in this supposedly funny movie,2,after another in this supposedly funny movie,4,2,1.6470588235294117,113116,"['after', 'after another', 'another', 'funny', 'funny movie', 'in', 'in this', 'movie', 'this']"
113119,6008,this supposedly funny movie,0,this supposedly funny movie,4,4,1.6470588235294117,113119,"['funny', 'funny movie', 'movie', 'this']"
113120,6008,supposedly funny movie,1,supposedly funny movie,4,3,1.6470588235294117,113120,"['funny', 'funny movie', 'movie']"
151392,8254,enjoyed it just a much,4,enjoyed it just as much,1,3,1.6363636363636365,151392,"['enjoyed', 'it', 'it just', 'just', 'just much', 'much']"
151384,8254,Congrats Disney on a job well done,4,Congrats Disney on a job well done,3,1,1.6363636363636365,151384,"['disney', 'done', 'job', 'on', 'well', 'well done']"
151391,8254,enjoyed it just a much !,4,enjoyed it just as much !,1,3,1.6363636363636365,151391,"['enjoyed', 'it', 'it just', 'just', 'just much', 'much']"
151390,8254,I enjoyed it just a much !,4,I enjoyed it just as much !,1,3,1.6363636363636365,151390,"['enjoyed', 'it', 'it just', 'just', 'just much', 'much']"
151389,8254,", I enjoyed it just a much !",3,", I enjoyed it just as much !",1,2,1.6363636363636365,151389,"['enjoyed', 'it', 'it just', 'just', 'just much', 'much']"
151388,8254,on a job,2,on a job,2,0,1.6363636363636365,151388,"['job', 'on']"
151393,8254,enjoyed it just,3,enjoyed it just,1,2,1.6363636363636365,151393,"['enjoyed', 'it', 'it just', 'just']"
151387,8254,Congrats,2,Congrats,2,0,1.6363636363636365,151387,[]
151386,8254,Congrats Disney,4,Congrats Disney,2,2,1.6363636363636365,151386,['disney']
151385,8254,Congrats Disney on a job,3,Congrats Disney on a job,2,1,1.6363636363636365,151385,"['disney', 'job', 'on']"
151383,8254,"Congrats Disney on a job well done , I enjoyed it just a much !",4,"Congrats Disney on a job well done , I enjoyed it just as much !",3,1,1.6363636363636365,151383,"['disney', 'done', 'enjoyed', 'it', 'it just', 'job', 'just', 'just much', 'much', 'on', 'well', 'well done']"
142769,7748,an audience laugh so much during a movie,3,an audience laugh so much during a movie,2,1,1.625,142769,"['an', 'an audience', 'audience', 'during', 'laugh', 'movie', 'much', 'so', 'so much']"
142766,7748,the last time I saw an audience laugh so much during a movie,4,the last time I saw an audience laugh so much during a movie,0,4,1.625,142766,"['an', 'an audience', 'audience', 'during', 'last', 'last time', 'laugh', 'movie', 'much', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
142764,7748,can not remember the last time I saw an audience laugh so much during a movie,4,ca n't remember the last time I saw an audience laugh so much during a movie,0,4,1.625,142764,"['an', 'an audience', 'audience', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'much', 'not', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
142763,7748,I can not remember the last time I saw an audience laugh so much during a movie,4,I ca n't remember the last time I saw an audience laugh so much during a movie,0,4,1.625,142763,"['an', 'an audience', 'audience', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'much', 'not', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
142761,7748,"I can not remember the last time I saw an audience laugh so much during a movie , but",3,"I ca n't remember the last time I saw an audience laugh so much during a movie , but",0,3,1.625,142761,"['an', 'an audience', 'audience', 'but', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'movie but', 'much', 'not', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
142760,7748,"I can not remember the last time I saw an audience laugh so much during a movie , but there 's only one problem",3,"I ca n't remember the last time I saw an audience laugh so much during a movie , but there 's only one problem",0,3,1.625,142760,"['an', 'an audience', 'audience', 'but', 'but there', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'movie but', 'much', 'not', 'one', 'only', 'only one', 'problem', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'there', 'time', 'time saw']"
142759,7748,"I can not remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ...",3,"I ca n't remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ...",0,3,1.625,142759,"['an', 'an audience', 'audience', 'but', 'but there', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'movie but', 'much', 'not', 'one', 'only', 'only one', 'problem', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'there', 'time', 'time saw']"
142758,7748,"I can not remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ... it 's supposed to be a drama",1,"I ca n't remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ... it 's supposed to be a drama",0,1,1.625,142758,"['an', 'an audience', 'audience', 'be', 'but', 'but there', 'can', 'can not', 'drama', 'during', 'it', 'it supposed', 'last', 'last time', 'laugh', 'movie', 'movie but', 'much', 'not', 'one', 'only', 'only one', 'problem', 'remember', 'remember the', 'saw', 'so', 'so much', 'supposed', 'supposed to', 'the', 'the last', 'there', 'time', 'time saw', 'to', 'to be']"
142757,7748,"I can not remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ... it 's supposed to be a drama .",2,"I ca n't remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ... it 's supposed to be a drama .",0,2,1.625,142757,"['an', 'an audience', 'audience', 'be', 'but', 'but there', 'can', 'can not', 'drama', 'during', 'it', 'it supposed', 'last', 'last time', 'laugh', 'movie', 'movie but', 'much', 'not', 'one', 'only', 'only one', 'problem', 'remember', 'remember the', 'saw', 'so', 'so much', 'supposed', 'supposed to', 'the', 'the last', 'there', 'time', 'time saw', 'to', 'to be']"
142762,7748,"I can not remember the last time I saw an audience laugh so much during a movie ,",3,"I ca n't remember the last time I saw an audience laugh so much during a movie ,",0,3,1.625,142762,"['an', 'an audience', 'audience', 'can', 'can not', 'during', 'last', 'last time', 'laugh', 'movie', 'much', 'not', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
142768,7748,saw an audience laugh so much during a movie,4,saw an audience laugh so much during a movie,2,2,1.625,142768,"['an', 'an audience', 'audience', 'during', 'laugh', 'movie', 'much', 'saw', 'so', 'so much']"
142767,7748,I saw an audience laugh so much during a movie,4,I saw an audience laugh so much during a movie,2,2,1.625,142767,"['an', 'an audience', 'audience', 'during', 'laugh', 'movie', 'much', 'saw', 'so', 'so much']"
142780,7748,be a drama,2,be a drama,2,0,1.625,142780,"['be', 'drama']"
142770,7748,laugh so much during a movie,3,laugh so much during a movie,2,1,1.625,142770,"['during', 'laugh', 'movie', 'much', 'so', 'so much']"
142771,7748,laugh so much,3,laugh so much,2,1,1.625,142771,"['laugh', 'much', 'so', 'so much']"
142772,7748,during a movie,2,during a movie,2,0,1.625,142772,"['during', 'movie']"
142773,7748,there 's only one problem,2,there 's only one problem,2,0,1.625,142773,"['one', 'only', 'only one', 'problem', 'there']"
142774,7748,'s only one problem,2,'s only one problem,2,0,1.625,142774,"['one', 'only', 'only one', 'problem']"
142775,7748,only one problem,1,only one problem,2,1,1.625,142775,"['one', 'only', 'only one', 'problem']"
142776,7748,it 's supposed to be a drama,2,it 's supposed to be a drama,2,0,1.625,142776,"['be', 'drama', 'it', 'it supposed', 'supposed', 'supposed to', 'to', 'to be']"
142777,7748,'s supposed to be a drama,2,'s supposed to be a drama,2,0,1.625,142777,"['be', 'drama', 'supposed', 'supposed to', 'to', 'to be']"
142778,7748,supposed to be a drama,2,supposed to be a drama,2,0,1.625,142778,"['be', 'drama', 'supposed', 'supposed to', 'to', 'to be']"
142779,7748,to be a drama,2,to be a drama,2,0,1.625,142779,"['be', 'drama', 'to', 'to be']"
142765,7748,remember the last time I saw an audience laugh so much during a movie,4,remember the last time I saw an audience laugh so much during a movie,0,4,1.625,142765,"['an', 'an audience', 'audience', 'during', 'last', 'last time', 'laugh', 'movie', 'much', 'remember', 'remember the', 'saw', 'so', 'so much', 'the', 'the last', 'time', 'time saw']"
73057,3731,greatness,3,greatness,2,1,1.6,73057,['greatness']
8030,329,relative,3,relative,2,1,1.6,8030,['relative']
29266,1355,Perhaps the grossest movie ever made .,0,Perhaps the grossest movie ever made .,2,2,1.6,29266,"['ever', 'ever made', 'made', 'movie', 'movie ever', 'perhaps', 'the']"
29267,1355,Perhaps the grossest movie,0,Perhaps the grossest movie,2,2,1.6,29267,"['movie', 'perhaps', 'the']"
29268,1355,the grossest movie,1,the grossest movie,2,1,1.6,29268,"['movie', 'the']"
29269,1355,grossest movie,0,grossest movie,2,2,1.6,29269,['movie']
29270,1355,grossest,1,grossest,2,1,1.6,29270,[]
8028,329,A relative letdown .,0,A relative letdown .,2,2,1.6,8028,['relative']
8029,329,relative letdown .,0,relative letdown .,2,2,1.6,8029,['relative']
8031,329,letdown .,1,letdown .,2,1,1.6,8031,[]
90042,4684,`` ambitious failure,1,`` ambitious failure,2,1,1.6,90042,"['ambitious', 'failure']"
8032,329,letdown,0,letdown,2,2,1.6,8032,[]
96082,5019,A major waste ... generic .,0,A major waste ... generic .,1,1,1.6,96082,"['generic', 'major', 'waste']"
96083,5019,A major waste ... generic,0,A major waste ... generic,1,1,1.6,96083,"['generic', 'major', 'waste']"
96084,5019,A major waste ...,0,A major waste ...,2,2,1.6,96084,"['major', 'waste']"
96085,5019,A major waste,0,A major waste,2,2,1.6,96085,"['major', 'waste']"
96086,5019,major waste,0,major waste,2,2,1.6,96086,"['major', 'waste']"
115546,6157,drowned me in boredom .,0,drowned me in boredom .,2,2,1.6,115546,"['boredom', 'in', 'me']"
90043,4684,ambitious failure,1,ambitious failure,2,1,1.6,90043,"['ambitious', 'failure']"
90041,4684,an `` ambitious failure,0,an `` ambitious failure,3,3,1.6,90041,"['ambitious', 'an', 'an ambitious', 'failure']"
73056,3731,is greatness,4,is greatness,2,2,1.6,73056,"['greatness', 'is']"
90035,4684,what critic have come to term an `` ambitious failure,0,what critics have come to term an `` ambitious failure,3,3,1.6,90035,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'failure', 'have', 'have come', 'term', 'to', 'to term', 'what']"
73055,3731,is greatness here,3,is greatness here,2,1,1.6,73055,"['greatness', 'here', 'is']"
73054,3731,is greatness here .,4,is greatness here .,2,2,1.6,73054,"['greatness', 'here', 'is']"
90040,4684,term an `` ambitious failure,0,term an `` ambitious failure,3,3,1.6,90040,"['ambitious', 'an', 'an ambitious', 'failure', 'term']"
90039,4684,to term an `` ambitious failure,0,to term an `` ambitious failure,3,3,1.6,90039,"['ambitious', 'an', 'an ambitious', 'failure', 'term', 'to', 'to term']"
90038,4684,come to term an `` ambitious failure,0,come to term an `` ambitious failure,3,3,1.6,90038,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'failure', 'term', 'to', 'to term']"
90037,4684,have come to term an `` ambitious failure,1,have come to term an `` ambitious failure,3,2,1.6,90037,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'failure', 'have', 'have come', 'term', 'to', 'to term']"
90036,4684,critic have come to term an `` ambitious failure,1,critics have come to term an `` ambitious failure,3,2,1.6,90036,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'failure', 'have', 'have come', 'term', 'to', 'to term']"
90034,4684,of what critic have come to term an `` ambitious failure,0,of what critics have come to term an `` ambitious failure,2,2,1.6,90034,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'failure', 'have', 'have come', 'of', 'of what', 'term', 'to', 'to term', 'what']"
115547,6157,drowned me in boredom,0,drowned me in boredom,2,2,1.6,115547,"['boredom', 'in', 'me']"
90033,4684,very definition,2,very definition,2,0,1.6,90033,"['definition', 'very']"
90032,4684,The very definition,2,The very definition,2,0,1.6,90032,"['definition', 'the', 'the very', 'very']"
115545,6157,The Pool drowned me in boredom .,1,The Pool drowned me in boredom .,2,1,1.6,115545,"['boredom', 'in', 'me', 'pool', 'the']"
90030,4684,The very definition of what critic have come to term an `` ambitious failure .,0,The very definition of what critics have come to term an `` ambitious failure .,1,1,1.6,90030,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'definition', 'definition of', 'failure', 'have', 'have come', 'of', 'of what', 'term', 'the', 'the very', 'to', 'to term', 'very', 'what']"
90029,4684,The very definition of what critic have come to term an `` ambitious failure . '',1,The very definition of what critics have come to term an `` ambitious failure . '',1,0,1.6,90029,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'definition', 'definition of', 'failure', 'have', 'have come', 'of', 'of what', 'term', 'the', 'the very', 'to', 'to term', 'very', 'what']"
73053,3731,There is greatness here .,4,There is greatness here .,2,2,1.6,73053,"['greatness', 'here', 'is', 'there', 'there is']"
115548,6157,drowned me,0,drowned me,2,2,1.6,115548,['me']
90031,4684,The very definition of what critic have come to term an `` ambitious failure,1,The very definition of what critics have come to term an `` ambitious failure,1,0,1.6,90031,"['ambitious', 'an', 'an ambitious', 'come', 'come to', 'critic', 'definition', 'definition of', 'failure', 'have', 'have come', 'of', 'of what', 'term', 'the', 'the very', 'to', 'to term', 'very', 'what']"
115549,6157,in boredom,1,in boredom,2,1,1.6,115549,"['boredom', 'in']"
54394,2703,an achievement,4,an achievement,2,2,1.6,54394,"['achievement', 'an']"
50883,2504,masterpeice,4,masterpeice,2,2,1.6,50883,[]
50881,2504,'s a masterpeice,2,'s a masterpeice,2,0,1.6,50881,[]
54393,2703,such an achievement,4,such an achievement,2,2,1.6,54393,"['achievement', 'an', 'such', 'such an']"
54392,2703,is just such an achievement,3,is just such an achievement,2,1,1.6,54392,"['achievement', 'an', 'is', 'is just', 'just', 'such', 'such an']"
54391,2703,is just such an achievement .,3,is just such an achievement .,2,1,1.6,54391,"['achievement', 'an', 'is', 'is just', 'just', 'such', 'such an']"
41331,1984,irredeemably awful,0,irredeemably awful,2,2,1.6,41331,['awful']
41330,1984,irredeemably awful .,0,irredeemably awful .,2,2,1.6,41330,['awful']
54390,2703,Half Past Dead is just such an achievement .,4,Half Past Dead is just such an achievement .,2,2,1.6,54390,"['achievement', 'an', 'dead', 'half', 'is', 'is just', 'just', 'past', 'such', 'such an']"
50880,2504,'s a masterpeice .,4,'s a masterpeice .,2,2,1.6,50880,[]
41332,1984,irredeemably,2,irredeemably,2,0,1.6,41332,[]
50879,2504,It 's a masterpeice .,4,It 's a masterpeice .,2,2,1.6,50879,['it']
41329,1984,", irredeemably awful .",0,", irredeemably awful .",2,2,1.6,41329,['awful']
50882,2504,a masterpeice,4,a masterpeice,2,2,1.6,50882,[]
41328,1984,"Laughably , irredeemably awful .",0,"Laughably , irredeemably awful .",2,2,1.6,41328,['awful']
113405,6025,breathtaking mystery,3,breathtaking mystery,2,1,1.5833333333333333,113405,"['breathtaking', 'mystery']"
113403,6025,moment of breathtaking mystery,3,moments of breathtaking mystery,2,1,1.5833333333333333,113403,"['breathtaking', 'moment', 'moment of', 'mystery', 'of']"
113398,6025,"dry humor and jarring shock , plus",3,"dry humor and jarring shocks , plus",1,2,1.5833333333333333,113398,"['and', 'dry', 'humor', 'humor and', 'jarring', 'plus', 'shock']"
113400,6025,dry humor and jarring shock,3,dry humor and jarring shocks,1,2,1.5833333333333333,113400,"['and', 'dry', 'humor', 'humor and', 'jarring', 'shock']"
113399,6025,"dry humor and jarring shock ,",2,"dry humor and jarring shocks ,",1,1,1.5833333333333333,113399,"['and', 'dry', 'humor', 'humor and', 'jarring', 'shock']"
113401,6025,dry humor and,2,dry humor and,1,1,1.5833333333333333,113401,"['and', 'dry', 'humor', 'humor and']"
113404,6025,of breathtaking mystery,4,of breathtaking mystery,2,2,1.5833333333333333,113404,"['breathtaking', 'mystery', 'of']"
113397,6025,"dry humor and jarring shock , plus moment of breathtaking mystery",2,"dry humor and jarring shocks , plus moments of breathtaking mystery",1,1,1.5833333333333333,113397,"['and', 'breathtaking', 'dry', 'humor', 'humor and', 'jarring', 'moment', 'moment of', 'mystery', 'of', 'plus', 'shock']"
113396,6025,"boast dry humor and jarring shock , plus moment of breathtaking mystery",3,"boasts dry humor and jarring shocks , plus moments of breathtaking mystery",1,2,1.5833333333333333,113396,"['and', 'breathtaking', 'dry', 'humor', 'humor and', 'jarring', 'moment', 'moment of', 'mystery', 'of', 'plus', 'shock']"
113395,6025,"boast dry humor and jarring shock , plus moment of breathtaking mystery .",3,"boasts dry humor and jarring shocks , plus moments of breathtaking mystery .",1,2,1.5833333333333333,113395,"['and', 'breathtaking', 'dry', 'humor', 'humor and', 'jarring', 'moment', 'moment of', 'mystery', 'of', 'plus', 'shock']"
113394,6025,"The film boast dry humor and jarring shock , plus moment of breathtaking mystery .",4,"The film boasts dry humor and jarring shocks , plus moments of breathtaking mystery .",1,3,1.5833333333333333,113394,"['and', 'breathtaking', 'dry', 'film', 'humor', 'humor and', 'jarring', 'moment', 'moment of', 'mystery', 'of', 'plus', 'shock', 'the', 'the film']"
113402,6025,jarring shock,3,jarring shocks,2,1,1.5833333333333333,113402,"['jarring', 'shock']"
24449,1112,'ll only put you to sleep,0,'ll only put you to sleep,2,2,1.5714285714285714,24449,"['ll', 'only', 'put', 'sleep', 'to', 'you', 'you to']"
24447,1112,it 'll only put you to sleep .,0,it 'll only put you to sleep .,2,2,1.5714285714285714,24447,"['it', 'll', 'only', 'put', 'sleep', 'to', 'you', 'you to']"
24448,1112,'ll only put you to sleep .,0,'ll only put you to sleep .,2,2,1.5714285714285714,24448,"['ll', 'only', 'put', 'sleep', 'to', 'you', 'you to']"
24450,1112,'ll only,2,'ll only,2,0,1.5714285714285714,24450,"['ll', 'only']"
24451,1112,put you to sleep,1,put you to sleep,2,1,1.5714285714285714,24451,"['put', 'sleep', 'to', 'you', 'you to']"
24445,1112,"Instead , it 'll only put you to sleep .",0,"Instead , it 'll only put you to sleep .",2,2,1.5714285714285714,24445,"['instead', 'it', 'll', 'only', 'put', 'sleep', 'to', 'you', 'you to']"
24446,1112,", it 'll only put you to sleep .",0,", it 'll only put you to sleep .",2,2,1.5714285714285714,24446,"['it', 'll', 'only', 'put', 'sleep', 'to', 'you', 'you to']"
142164,7713,A very good film,4,A very good film,4,0,1.5555555555555556,142164,"['film', 'good', 'good film', 'very', 'very good']"
71841,3666,While not all that bad of a movie,2,While not all that bad of a movie,1,1,1.5555555555555556,71841,"['all', 'all that', 'bad', 'movie', 'not', 'not all', 'of', 'of movie', 'that', 'while']"
71842,3666,not all that bad of a movie,3,not all that bad of a movie,1,2,1.5555555555555556,71842,"['all', 'all that', 'bad', 'movie', 'not', 'not all', 'of', 'of movie', 'that']"
71840,3666,"While not all that bad of a movie , it 's nowhere near a good a the original .",1,"While not all that bad of a movie , it 's nowhere near as good as the original .",1,0,1.5555555555555556,71840,"['all', 'all that', 'bad', 'good', 'good the', 'it', 'movie', 'movie it', 'near', 'not', 'not all', 'nowhere', 'nowhere near', 'of', 'of movie', 'original', 'that', 'the', 'the original', 'while']"
71845,3666,", it 's nowhere near a good a the original .",1,", it 's nowhere near as good as the original .",3,2,1.5555555555555556,71845,"['good', 'good the', 'it', 'near', 'nowhere', 'nowhere near', 'original', 'the', 'the original']"
